SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-15-2017,Condo/Co-op,1100 Sacramento St #404,San Francisco,CA,94108,2725000,2,2.5,Nob Hill,2050,,1925,1016,1329,2084,Sold,,,http://www.redfin.com/CA/San-Francisco/1100-Sacramento-St-94108/unit-404/home/51588434,San Francisco MLS,462152,N,Y,37.7929478,-122.4114198
PAST SALE,October-29-2019,Condo/Co-op,900 Bush St #505,San Francisco,CA,94109,675000,1,1,Downtown,682,,1982,333,990,1010,Sold,,,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-505/home/1277184,San Francisco MLS,490904,N,Y,37.7899451,-122.4127266
PAST SALE,,Single Family Residential,322 324 Chattanooga St,San Francisco,CA,94114,,,,,,,,,,,Sold,,,http://www.redfin.com/CA/San-Francisco/324-Chattanooga-St-94114/home/148748481,BAREIS,,N,Y,37.7513935,-122.4264501
PAST SALE,July-9-2019,Single Family Residential,3767 23rd St,San Francisco,CA,94114,3475000,4,3,Noe Valley,2491,2199,1900,445,1395,,Sold,,,http://www.redfin.com/CA/San-Francisco/3767-23rd-St-94114/home/2014073,San Francisco MLS,486156,N,Y,37.7531825,-122.4268834
PAST SALE,November-30-2017,Condo/Co-op,241 10th St #403,San Francisco,CA,94103,1095000,2,2,South of Market,935,,2017,1031,1171,604,Sold,,,http://www.redfin.com/CA/San-Francisco/241-10th-St-94103/unit-403/home/143665539,San Francisco MLS,462122,N,Y,37.7736928,-122.4134317
PAST SALE,August-31-2020,Condo/Co-op,1020 Church St #2,San Francisco,CA,94114,2050000,3,2.5,Noe Valley,1679,,1994,26,1221,,Sold,,,http://www.redfin.com/CA/San-Francisco/1020-Church-St-94114/unit-2/home/1139807,San Francisco MLS,500877,N,Y,37.7544627,-122.4280108
PAST SALE,August-12-2019,Condo/Co-op,208 28th St #201,San Francisco,CA,94131,1455000,2,2,Noe Valley,992,,2012,411,1467,542,Sold,,,http://www.redfin.com/CA/San-Francisco/208-28th-St-94131/unit-201/home/40626074,San Francisco MLS,487135,N,Y,37.745435,-122.4271528
PAST SALE,April-26-2018,Condo/Co-op,1700 Jones St #4,San Francisco,CA,94109,1750000,2,2,Russian Hill,1284,,1917,884,1363,958,Sold,,,http://www.redfin.com/CA/San-Francisco/1700-Jones-St-94109/unit-4/home/1529210,San Francisco MLS,467274,N,Y,37.7970527,-122.4150014
PAST SALE,October-25-2019,Condo/Co-op,1001 Pine St #1306,SAN FRANCISCO,CA,94109,815000,1,1,SAN FRANCISCO,650,18906,1963,337,1254,539,Sold,,,http://www.redfin.com/CA/San-Francisco/1001-Pine-St-94109/unit-1306/home/1865389,MLSListings,ML81767785,N,Y,37.7903477,-122.4125675
PAST SALE,July-16-2019,Single Family Residential,318 6th Ave,San Francisco,CA,94118,2100000,3,3,Inner Richmond,2450,3000,1903,438,857,,Sold,,,http://www.redfin.com/CA/San-Francisco/318-6th-Ave-94118/home/1492737,San Francisco MLS,484835,N,Y,37.7823491,-122.4641428
