SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-29-2015,Townhouse,455 Turner Ter,SAN MATEO,CA,94401,1290000,3,3.5,SAN MATEO,2039,10500,1924,1794,633,325,Sold,,,http://www.redfin.com/CA/San-Mateo/455-Turner-Ter-94401/home/109581409,MLSListings,ML81484713,N,Y,37.5722113,-122.3351971
PAST SALE,November-23-2015,Single Family Residential,320 N Ellsworth Ave,SAN MATEO,CA,94401,825000,3,1.0,SAN MATEO,1500,5550,1907,1769,550,,Sold,,,http://www.redfin.com/CA/San-Mateo/320-N-Ellsworth-Ave-94401/home/699156,MLSListings,ML81533392,N,Y,37.5722912,-122.3301712
PAST SALE,January-31-2018,Single Family Residential,1715 Borden St,SAN MATEO,CA,94403,1150000,3,2.0,SAN MATEO,1400,5000,1956,969,821,,Sold,,,http://www.redfin.com/CA/San-Mateo/1715-Borden-St-94403/home/1724824,MLSListings,ML81686093,N,Y,37.5606431,-122.2937207
PAST SALE,,Single Family Residential,1409 Pershing Ave,San Mateo,CA,94403,1100000,3,2.0,,1220,5000,1954,,902,,,,,http://www.redfin.com/CA/San-Mateo/1409-Pershing-Ave-94403/home/721664,,,N,Y,37.5611306,-122.3003208
PAST SALE,September-27-2019,Condo/Co-op,225 9th Ave #203,SAN MATEO,CA,94401,757000,1,1.0,SAN MATEO,911,51834,2006,365,831,544,Sold,,,http://www.redfin.com/CA/San-Mateo/225-9th-Ave-94401/unit-203/home/2100480,MLSListings,ML81764560,N,Y,37.5616669,-122.3189082
PAST SALE,December-30-2016,Single Family Residential,1664 Wellesley Ave,SAN MATEO,CA,94403,1005000,3,2.0,SAN MATEO,1150,5000,1955,1366,874,,Sold,,,http://www.redfin.com/CA/San-Mateo/1664-Wellesley-Ave-94403/home/1978951,MLSListings,ML81627606,N,Y,37.560913,-122.2949167
PAST SALE,June-22-2017,Single Family Residential,1105 Shoal Dr,SAN MATEO,CA,94404,1888000,3,2.5,SAN MATEO,2060,3146,1976,1192,917,129,Sold,,,http://www.redfin.com/CA/San-Mateo/1105-Shoal-Dr-94404/home/1088072,MLSListings,ML81645881,N,Y,37.5619742,-122.2914726
PAST SALE,December-12-2018,Multi-Family (2-4 Unit),971973 B St,San Mateo,CA,94401,1535000,0,,San Mateo,,7400,1945,654,,,Sold,,,http://www.redfin.com/CA/San-Mateo/971973-S-B-St-94401/home/169731806,SDMLS,301747119,N,Y,37.5616463,-122.3181504
PAST SALE,August-31-2016,Condo/Co-op,815 Sea Spray Ln #201,FOSTER CITY,CA,94404,789000,2,2.0,FOSTER CITY,1213,,1981,1487,650,510,Sold,,,http://www.redfin.com/CA/Foster-City/815-Sea-Spray-Ln-94404/unit-201/home/1878151,MLSListings,ML81598482,N,Y,37.553254,-122.2812289
PAST SALE,June-29-2018,Single Family Residential,1668 S Norfolk St,SAN MATEO,CA,94403,1402000,4,2.0,SAN MATEO,1270,5500,1954,820,1104,,Sold,,,http://www.redfin.com/CA/San-Mateo/1668-S-Norfolk-St-94403/home/1191213,MLSListings,ML81707340,N,Y,37.5610611,-122.2990805
PAST SALE,July-3-2018,Single Family Residential,1806 S Norfolk St,SAN MATEO,CA,94403,1200000,3,2.0,SAN MATEO,1320,5000,1954,816,909,,Sold,,,http://www.redfin.com/CA/San-Mateo/1806-S-Norfolk-St-94403/home/1414989,MLSListings,ML81705975,N,Y,37.5559592,-122.2942522
PAST SALE,January-6-2017,Single Family Residential,309 Seville Way,SAN MATEO,CA,94402,1850000,2,2.0,SAN MATEO,2120,6600,1940,1359,873,,Sold,,,http://www.redfin.com/CA/San-Mateo/309-Seville-Way-94402/home/713989,MLSListings,ML81632870,N,Y,37.553718,-122.323839
PAST SALE,September-29-2015,Single Family Residential,1666 Taylor St,SAN MATEO,CA,94403,902000,3,2.0,SAN MATEO,1220,5356,1954,1824,739,,Sold,,,http://www.redfin.com/CA/San-Mateo/1666-Taylor-St-94403/home/1815008,MLSListings,ML81512034,N,Y,37.5607292,-122.2999221
PAST SALE,August-13-2020,Condo/Co-op,400 Mariners Island Blvd #305,SAN MATEO,CA,94404,1345000,3,2.0,SAN MATEO,1439,,2016,44,935,647,Sold,,,http://www.redfin.com/CA/San-Mateo/400-Mariners-Island-Blvd-94404/unit-305/home/144108591,MLSListings,ML81797015,N,Y,37.5699134,-122.2853899
PAST SALE,November-15-2018,Single Family Residential,1400 Palm Ave,SAN MATEO,CA,94402,1650000,3,2.0,SAN MATEO,2590,5400,1926,681,637,,Sold,,,http://www.redfin.com/CA/San-Mateo/1400-Palm-Ave-94402/unit-6H/home/2001610,MLSListings,ML81718559,N,Y,37.5554588,-122.3153356
PAST SALE,November-16-2018,Condo/Co-op,903 Emerald Bay Ln #31,FOSTER CITY,CA,94404,1230000,2,2.5,FOSTER CITY,1530,179821,1991,680,804,326,Sold,,,http://www.redfin.com/CA/Foster-City/903-Emerald-Bay-Ln-94404/unit-31/home/981403,MLSListings,ML81728395,N,Y,37.554728,-122.280753
PAST SALE,March-9-2016,Single Family Residential,127 W 38th Ave,SAN MATEO,CA,94403,1950000,4,4.5,SAN MATEO,2760,5002,1920,1662,707,,Sold,,,http://www.redfin.com/CA/San-Mateo/127-W-38th-Ave-94403/home/1725326,MLSListings,ML81548965,N,Y,37.532336,-122.296634
PAST SALE,August-21-2020,Condo/Co-op,456 Mariners Island Blvd #317,SAN MATEO,CA,94404,710000,1,1.0,SAN MATEO,965,,1978,36,736,580,Sold,,,http://www.redfin.com/CA/San-Mateo/456-Mariners-Island-Blvd-94404/unit-317/home/972643,MLSListings,ML81799031,N,Y,37.5679942,-122.2848411
PAST SALE,,Single Family Residential,123 Avila Rd,San Mateo,CA,94402,1700000,2,2.0,,1500,5000,1936,,1133,,,,,http://www.redfin.com/CA/San-Mateo/123-Avila-Rd-94402/home/714131,,,N,Y,37.5550575,-122.3210486
PAST SALE,October-9-2015,Single Family Residential,333 Avila Rd,San Mateo,CA,94402,1500000,4,3.0,San Mateo,2490,5000,1936,1814,602,,Sold,,,http://www.redfin.com/CA/San-Mateo/333-Avila-Rd-94402/home/1170964,San Francisco MLS,437673,N,Y,37.5525438,-122.3240158
